"ug","shear","ub","ur","u:0","u:1","u:2","twist","isotropic","uniaxial","Points:0","Points:1","Points:2"
3.4348,0.00019028,-4.1207,0.68588,0.22851,-0.33904,0,0.0016213,1.9637e-05,0.0011188,92.569,362.93,0
0.49534,0.00011589,-0.98934,0.49399,0.020545,-0.08927,0,8.7601e-05,-7.4464e-05,-2.0638e-05,84.417,161.63,0
0.48813,0.00011544,-0.98563,0.4975,0.01991,-0.089063,0,8.0328e-05,-7.6126e-05,-2.6614e-05,91.321,161.87,0
0.47314,0.00010625,-0.97882,0.50568,0.018561,-0.088726,0,8.0433e-05,-6.9983e-05,-1.8189e-05,87.5,152.91,0
1.7342,0.00040802,-0.76282,-0.97139,0.15676,-0.036516,0,-7.8318e-05,-0.0003254,-6.7963e-06,616.3,181.68,0
1.768,0.00026064,-0.79073,-0.9773,0.15941,-0.03856,0,0.00018102,-0.0002534,0.00017199,622.41,191.81,0
1.6975,0.00034383,-0.72153,-0.97598,0.15423,-0.033173,0,0.00017148,-0.00037717,0.00020142,627.33,182.32,0
1.8217,9.4929e-05,-0.85013,-0.9716,0.16314,-0.043347,0,-0.00011586,-0.00014757,-0.00016188,598.3,183.22,0
1.7876,0.00015723,-0.82184,-0.96574,0.16047,-0.041272,0,-0.00029755,-0.00020113,-0.00032702,606.16,175.48,0
1.8493,-3.5065e-05,-0.87281,-0.97645,0.1653,-0.045008,0,-0.00018716,-3.2294e-05,-0.00023381,594.87,173.61,0
1.8217,0.00011169,-0.85013,-0.9716,0.16314,-0.043347,0,-0.00011997,-0.00013074,-0.00016625,598.3,183.22,0
1.7876,0.00018121,-0.82184,-0.96574,0.16047,-0.041272,0,-0.00026389,-0.00017769,-0.00029374,606.16,175.48,0
1.7893,0.00025318,-0.81979,-0.96948,0.16071,-0.041022,0,-9.7548e-05,-0.00020557,-0.00012355,606.4,184.68,0
3.7002,0.00053339,-4.3479,0.64767,0.24903,-0.35592,0,0.0015723,-0.00011831,0.0011074,100.58,369.12,0
3.4168,0.00026704,-4.1383,0.72148,0.22609,-0.34127,0,0.0013915,-1.3384e-05,0.00094016,98.003,358.24,0
3.5436,0.00052038,-4.2571,0.71353,0.23556,-0.35039,0,0.0012696,-0.00010417,0.00090541,106.36,359.55,0
1.9705,-0.00013153,-1.0852,-0.8853,0.17126,-0.063818,0,0.0004879,2.9716e-05,2.4587e-05,666.81,214.02,0
2.0071,-0.00010262,-1.1355,-0.87153,0.17349,-0.068086,0,0.00039798,7.4786e-05,-4.504e-05,675.07,219.79,0
1.9825,-0.00012581,-1.1611,-0.8214,0.17013,-0.071288,0,0.00052557,0.00010963,-8.827e-05,677.91,209.91,0
0.48813,0.0001151,-0.98563,0.4975,0.01991,-0.089063,0,8.042e-05,-7.5747e-05,-2.6417e-05,91.321,161.87,0
0.47314,0.00010666,-0.97882,0.50568,0.018561,-0.088726,0,8.0301e-05,-7.0419e-05,-1.8396e-05,87.5,152.91,0
0.46973,0.00010868,-0.97684,0.50711,0.018268,-0.088605,0,7.3212e-05,-7.3205e-05,-2.4907e-05,94.976,155.11,0
4.0029,0.0007434,-4.5913,0.5884,0.27293,-0.37356,0,0.0015655,-0.00020596,0.0011678,110.8,375.77,0
3.7002,0.00049994,-4.3479,0.64767,0.24903,-0.35592,0,0.0014848,-0.00011747,0.0010404,100.58,369.12,0
3.7794,0.00067368,-4.4339,0.65455,0.25458,-0.36282,0,0.0013791,-0.00019337,0.0010444,111.9,366.89,0
3.5842,0.00096449,-3.6919,0.10773,0.25754,-0.29165,0,-0.0004426,-0.0005628,0.00022108,332.75,383.47,0
3.5188,0.00099782,-3.5642,0.045402,0.25474,-0.28016,0,-0.00051322,-0.00053426,0.00013841,340.79,383.79,0
3.4743,0.00094624,-3.5237,0.049417,0.25137,-0.27708,0,-0.00043507,-0.00050814,0.00015834,339.25,375.87,0
4.0055,0.0006436,-4.5697,0.56423,0.27388,-0.37129,0,0.0016372,-0.0001904,0.0011947,101.83,380.11,0
4.0029,0.00071466,-4.5913,0.5884,0.27293,-0.37356,0,0.0015525,-0.00018029,0.0011693,110.8,375.77,0
